ibge,uf,nome,slug,provider_family,schema_package,tipo_suporte,status_homologacao,observacao
1200401,AC,"Rio Branco",rio-branco,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
2704302,AL,Maceió,maceio,GINFES,GINFES,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
2704708,AL,"Marechal Deodoro",marechal-deodoro,GINFES,GINFES,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
1302603,AM,Manaus,manaus,nfse_nacional,NACIONAL,NACIONAL,HOMOLOGADO_REFERENCIA_NACIONAL,"Manaus validado como referencia do fluxo nacional."
1303536,AM,"Presidente Figueiredo",presidente-figueiredo,ISSWEB_AM,ISSWEB_AM,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
1303569,AM,"Rio Preto da Eva",rio-preto-da-eva,ISSWEB_AM,ISSWEB_AM,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
9999902,AN,ABASE,abase,ABASE,ABASE,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
9999903,AN,BETHA,betha,BETHA,BETHA,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
9999907,AN,BETHA_CLOUD,betha-cloud,BETHA_CLOUD,BETHA_CLOUD,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
9999905,AN,EQUIPLANO,equiplano,EQUIPLANO,EQUIPLANO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
9999906,AN,FISCO,fisco,FISCO,FISCO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
9999900,AN,GINFES,ginfes,GINFES,GINFES,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
9999901,AN,MEMORY,memory,MEMORY,MEMORY,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
1001058,AN,NACIONAL,nacional,nfse_nacional,NACIONAL,NACIONAL,DISPENSADO_NACIONAL,"Dispensado de homologacao municipal individual pela regra nacional 100%."
9999904,AN,WEBFISCO,webfisco,WEBFISCO,WEBFISCO,MUNICIPAL,PENDENTE_HOMOLOGACAO_MUNICIPAL,
